,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,country_id,league_id,stage,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,HS,AS,HST,AST,B365H,B365D,B365A,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamDrawStreak,AwayTeamDrawStreak,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,FTR
329,63,54,60,48,38,35,44,54,1729,1729,27,1229385,9825,10252,2,1,24.0,5.0,14.0,3.0,1.33,5.5,11.0,1,2,3,1,0,1,1,1,0,2,2,1,2,2,1,0,2
330,70,60,56,70,70,30,60,35,1729,1729,27,1229388,8456,8455,2,0,15.0,4.0,11.0,1.0,1.95,3.6,4.33,2,3,2,1,1,0,1,0,0,1,1,0,0,2,1,0,2
331,70,60,70,65,75,65,65,50,1729,1729,28,1229395,10252,8456,0,1,10.0,20.0,5.0,12.0,7.5,4.5,1.44,1,1,1,2,1,0,1,1,1,2,1,0,2,2,1,0,0
332,49,49,46,58,56,49,51,45,1729,1729,28,1229398,8668,9798,3,1,18.0,12.0,12.0,6.0,1.38,5.0,10.0,2,0,2,0,0,0,1,1,0,2,2,1,2,2,1,0,2
333,52,56,58,41,54,29,28,39,1729,1729,28,1229403,8472,9879,2,2,12.0,7.0,6.0,4.0,2.4,3.3,3.3,2,0,0,2,0,1,1,1,0,2,2,1,0,0,1,0,1
334,43,40,39,33,63,52,58,59,1729,1729,29,1229407,9825,8668,0,0,10.0,10.0,6.0,5.0,1.75,3.9,5.0,1,1,3,2,0,1,1,1,0,0,2,1,2,2,1,0,1
335,70,60,56,70,70,30,60,35,1729,1729,29,1229408,9879,8455,0,3,11.0,13.0,7.0,10.0,4.75,3.8,1.8,0,2,2,1,1,0,1,0,0,1,1,0,0,2,1,0,0
336,65,50,45,55,50,35,45,65,1729,1729,29,1229415,9798,10252,1,2,10.0,18.0,4.0,7.0,2.45,3.4,3.1,2,1,1,1,0,0,1,1,0,2,2,1,2,2,1,0,0
337,49,49,46,58,56,49,51,45,1729,1729,3,1228301,8455,9798,4,2,23.0,7.0,11.0,5.0,1.25,5.5,13.0,2,0,3,0,0,0,1,1,0,2,2,1,2,2,1,0,2
338,30,29,41,55,39,64,54,52,1729,1729,3,1228302,8650,9825,0,2,17.0,11.0,8.0,7.0,2.0,3.5,3.75,3,2,1,2,2,0,2,1,0,2,2,0,2,2,1,0,0
339,46,54,49,72,56,42,41,56,1729,1729,3,1228305,8466,10260,2,3,15.0,18.0,8.0,9.0,6.0,4.2,1.53,2,4,2,0,0,1,1,1,0,1,2,1,2,2,1,0,0
340,59,29,38,36,24,48,47,54,1729,1729,30,1229420,8668,8456,2,0,11.0,17.0,5.0,11.0,3.9,3.6,2.05,2,2,2,1,0,1,2,0,0,2,0,0,2,2,1,0,2
341,44,64,62,65,42,51,47,52,1729,1729,30,1229421,10260,9798,1,0,17.0,5.0,8.0,1.0,1.17,9.0,19.0,5,0,0,0,0,1,1,1,0,2,2,1,2,2,1,0,2
342,60,50,40,45,60,55,55,50,1729,1729,30,1229422,8466,8650,3,1,17.0,8.0,12.0,6.0,4.2,3.8,1.91,1,1,2,3,0,0,1,1,0,2,2,1,2,2,1,0,2
343,49,49,46,58,56,49,51,45,1729,1729,31,1229430,9825,9798,4,1,23.0,4.0,14.0,2.0,1.25,6.5,15.0,1,0,3,0,0,0,1,1,0,2,2,1,2,2,1,0,2
344,50,35,50,60,70,40,60,40,1729,1729,31,1229431,10252,8650,1,2,10.0,16.0,7.0,12.0,5.0,4.0,1.75,1,0,1,3,0,0,1,1,0,2,1,1,2,2,1,0,0
345,60,50,60,60,80,35,55,50,1729,1729,31,1229435,8466,8455,2,1,13.0,7.0,8.0,4.0,3.5,3.5,2.2,2,3,2,1,0,0,1,0,0,2,1,0,2,2,1,0,2
346,46,54,46,60,55,40,50,56,1729,1729,31,1229436,8472,10260,0,1,9.0,10.0,4.0,6.0,6.0,4.0,1.65,2,5,1,0,0,0,1,1,0,2,2,1,2,2,1,0,0
347,57,66,56,31,72,47,52,49,1729,1729,32,1229440,8455,8472,2,1,14.0,7.0,7.0,3.0,1.36,5.0,11.0,3,2,2,0,0,0,1,1,0,0,1,1,2,2,1,0,2
348,59,29,32,49,62,42,44,54,1729,1729,32,1229442,10260,8456,1,2,16.0,9.0,7.0,5.0,2.3,3.5,3.3,5,2,0,1,0,1,2,1,2,2,2,1,2,2,1,0,0
349,52,46,42,54,30,50,65,44,1729,1729,32,1229446,9798,8466,0,2,8.0,12.0,3.0,4.0,3.3,3.6,2.25,1,1,1,2,0,0,1,1,0,2,0,1,2,2,1,0,0
350,60,70,70,70,50,40,35,40,1729,1729,33,1229452,10252,9879,1,1,15.0,8.0,7.0,3.0,2.3,3.3,3.5,1,0,0,2,0,0,0,1,1,1,2,1,2,2,1,0,1
351,60,50,40,45,60,55,55,50,1729,1729,33,1229457,9798,8650,0,0,7.0,26.0,5.0,15.0,8.0,4.75,1.45,1,1,1,2,0,0,1,1,0,2,2,1,2,2,1,0,1
352,25,32,41,34,30,57,57,52,1729,1729,34,1229461,9879,9825,0,1,7.0,10.0,5.0,7.0,5.0,4.0,1.75,0,3,2,1,2,0,2,1,0,2,0,0,2,2,1,0,0
