,HomeTeam,AwayTeam
768,oud-heverleeleuven,kvcwesterlo
769,sportinglokeren,krcgenk
770,kvmechelen,ksvcerclebrugge
771,raecmons,kvkortrijk
772,standarddeliege,svzulte-waregem
773,krcgenk,raecmons
774,kaagent,sportinglokeren
775,beerschotac,kvmechelen
776,kvkortrijk,clubbruggekv
777,liersesk,sint-truidensevv
778,kvcwesterlo,rscanderlecht
779,ksvcerclebrugge,oud-heverleeleuven
780,clubbruggekv,krcgenk
781,rscanderlecht,liersesk
782,sint-truidensevv,standarddeliege
783,svzulte-waregem,ksvcerclebrugge
784,oud-heverleeleuven,beerschotac
785,sportinglokeren,kvkortrijk
786,kvmechelen,kvcwesterlo
787,raecmons,kaagent
788,standarddeliege,clubbruggekv
789,krcgenk,kvkortrijk
790,kaagent,kvmechelen
791,beerschotac,raecmons
792,svzulte-waregem,sint-truidensevv
793,liersesk,oud-heverleeleuven
794,kvcwesterlo,sportinglokeren
795,ksvcerclebrugge,rscanderlecht
796,clubbruggekv,ksvcerclebrugge
797,rscanderlecht,sint-truidensevv
798,krcgenk,kvcwesterlo
799,oud-heverleeleuven,standarddeliege
800,sportinglokeren,beerschotac
801,kvkortrijk,kaagent
802,kvmechelen,svzulte-waregem
803,raecmons,liersesk
