,buildUpPlaySpeed,buildUpPlayPassing,chanceCreationPassing,chanceCreationCrossing,chanceCreationShooting,defencePressure,defenceAggression,defenceTeamWidth,date,buildUpPlaySpeedClass,buildUpPlayDribblingClass,buildUpPlayPassingClass,buildUpPlayPositioningClass,chanceCreationPassingClass,chanceCreationCrossingClass,chanceCreationShootingClass,chanceCreationPositioningClass,defencePressureClass,defenceAggressionClass,defenceTeamWidthClass,defenceDefenderLineClass,home_team_goal,away_team_goal
472,0,2,-20,-10,12,3,6,4,0,0,0,0,0,-1,0,0,0,0,2,0,0,2,2
473,1,-14,-7,-16,-5,20,23,-12,0,0,0,0,0,0,1,0,-1,0,0,0,0,1,1
474,-24,4,-2,-1,19,13,17,13,0,-1,0,0,0,0,-2,0,0,0,0,0,0,1,0
475,0,-25,-25,0,0,-25,-10,-20,0,0,0,1,0,-1,0,0,-1,0,0,0,0,2,0
476,-20,15,15,20,-10,-5,15,20,0,-1,0,0,1,0,0,0,1,0,0,0,0,1,3
477,15,-12,2,-20,-15,10,11,7,0,1,0,0,0,0,0,0,0,2,2,0,0,2,0
478,-20,-20,-20,-10,5,-30,-10,-30,0,-1,0,0,0,-1,1,-1,0,1,1,-1,0,0,1
479,5,20,5,0,5,20,20,-15,0,1,0,0,0,1,0,0,0,0,0,0,0,4,1
480,22,3,4,22,8,-7,-10,-2,0,1,0,0,0,0,0,0,1,0,0,0,0,3,2
481,-5,-9,-17,-10,11,21,30,-9,0,0,0,0,0,-1,0,0,-1,0,2,0,0,2,0
482,-11,29,22,3,-3,-10,-10,-9,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,1,3
483,5,-22,-33,-35,-4,15,18,20,0,0,0,1,0,-1,1,0,0,0,0,0,0,3,1
484,10,-5,-5,0,25,5,-15,5,0,1,0,0,0,0,0,-1,0,0,1,0,0,3,1
485,-10,15,-10,0,-15,0,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2
486,-5,1,31,4,-7,6,-11,-9,0,0,0,0,0,1,0,0,0,0,-2,0,0,1,4
487,-1,0,-6,12,-21,-8,-14,12,0,0,0,0,0,0,-1,0,1,0,0,0,0,1,1
488,5,30,24,-11,8,-13,-16,-8,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,2
489,8,7,3,-2,20,-9,-6,-8,0,1,0,-1,1,0,0,2,1,0,0,0,0,2,1
490,4,40,40,25,30,35,20,10,0,1,0,-2,1,-1,-1,0,1,2,0,0,0,0,2
491,2,-18,3,-6,7,-2,8,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
492,-18,-14,-28,-32,-17,13,30,-1,0,2,0,1,0,-1,0,-2,-1,0,2,0,0,2,1
493,8,14,10,-2,-15,6,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
494,24,-8,-8,-15,10,-11,-16,18,0,1,0,1,0,0,0,0,1,0,0,0,0,2,1
495,5,-37,-44,-13,-1,-12,-18,-6,0,0,1,2,0,1,0,0,-1,0,0,0,0,3,0
496,10,0,0,0,10,30,-10,25,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3
497,5,20,5,0,5,20,20,-15,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
498,0,15,-7,28,8,-10,-14,16,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,2
499,-6,-9,-23,2,-10,13,16,3,0,0,0,0,0,-1,-1,0,0,0,2,0,0,1,0
500,-1,19,17,-15,10,-11,-20,-7,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,1
501,21,-14,-21,0,6,-3,-9,-4,0,0,0,1,0,2,0,0,-1,0,0,0,0,1,2
